Sale_ID,Product,Price,Quantity,Sale_Date,Store_Location,Customer_Age,Payment_Method,Sales,Cost,Profit,Region
2101,Tablet,1651.2,63,2022-07-15,Store_C,34,Debit Card,104025.6,98824.32,5201.279999999999,Lahore
2102,Smartphone,1324.22,59,2022-06-20,Store_C,57,Debit Card,78128.98,74222.531,3906.4489999999932,Lahore
2103,Smartphone,1362.49,5,2024-04-06,Store_C,40,Cash,6812.45,6471.8275,340.6224999999995,Lahore
2104,Keyboard,779.72,43,2023-08-23,Store_C,30,Credit Card,33527.96,31851.562,1676.3979999999974,Sukkur
2105,Tablet,1427.63,18,2023-04-03,Store_E,65,Online Payment,25697.340000000004,24412.473,1284.867000000002,Islamabd
2106,Keyboard,2089.43,71,2024-10-01,Store_C,68,Online Payment,148349.53,140932.05349999998,7417.476500000019,Lahore
2107,Mouse,801.69,22,2023-11-09,Store_D,26,Cash,17637.18,16755.321,881.8590000000004,Hyderabad
2108,Smartphone,1489.51,59,2022-05-18,Store_D,50,Debit Card,87881.09,83487.0355,4394.054499999998,Islamabd
2109,Headphones,678.31,72,2022-09-21,Store_D,47,Debit Card,48838.31999999999,46396.404,2441.91599999999,Lahore
2110,Tablet,273.35,27,2023-05-14,Store_D,23,Mobile Payment,7380.450000000001,7011.4275,369.02250000000095,Sukkur
2111,Monitor,1181.86,64,2024-01-11,Store_E,46,Online Payment,75639.04,71857.08799999999,3781.952000000005,Lahore
2112,Mouse,1332.72,35,2022-11-17,Store_E,77,Credit Card,46645.200000000004,44312.94,2332.260000000002,Islamabd
2113,Laptop,315.4,46,2022-09-16,Store_D,36,Debit Card,14508.4,13782.98,725.4200000000001,Hyderabad
2114,Headphones,63.11,7,2023-09-04,Store_A,64,Mobile Payment,441.77,419.68149999999997,22.08850000000001,Islamabd
2115,Tablet,1330.99,59,2023-06-13,Store_A,24,Mobile Payment,78528.41,74601.9895,3926.4205000000075,Karachi
2116,Monitor,1687.13,62,2022-09-24,Store_D,25,Online Payment,104602.06000000001,99371.957,5230.103000000017,Hyderabad
2117,Tablet,900.07,50,2024-01-27,Store_C,69,Cash,45003.5,42753.325000000004,2250.1749999999956,Sukkur
2118,Tablet,164.95,31,2023-03-27,Store_C,37,Online Payment,5113.45,4857.777499999999,255.67250000000058,Hyderabad
2119,Mouse,2078.59,70,2024-08-06,Store_C,54,Mobile Payment,145501.30000000002,138226.23500000002,7275.065000000002,Sukkur
2120,Monitor,1981.21,15,2022-04-23,Store_E,67,Credit Card,29718.15,28232.2425,1485.9075000000012,Islamabd
2121,Smartphone,916.99,65,2023-10-25,Store_B,51,Online Payment,59604.35,56624.1325,2980.217499999999,Islamabd
2122,Keyboard,1443.42,20,2022-04-17,Store_B,67,Debit Card,28868.4,27424.98,1443.420000000002,Karachi
2123,Tablet,2332.64,6,2024-05-09,Store_C,32,Credit Card,13995.84,13296.047999999999,699.7920000000013,Sukkur
2124,Smartphone,777.62,24,2022-05-03,Store_C,60,Online Payment,18662.88,17729.736,933.1440000000002,Sukkur
2125,Monitor,357.36,55,2022-03-10,Store_E,37,Credit Card,19654.8,18672.06,982.739999999998,Karachi
2126,Mouse,654.97,15,2023-08-28,Store_A,70,Cash,9824.550000000001,9333.3225,491.2275000000009,Sukkur
2127,Keyboard,1245.59,27,2024-01-01,Store_D,68,Credit Card,33630.93,31949.383499999996,1681.546500000004,Islamabd
2128,Laptop,1230.18,21,2023-05-21,Store_B,73,Cash,25833.780000000002,24542.091,1291.6890000000021,Lahore
2129,Monitor,628.03,26,2022-08-17,Store_A,79,Debit Card,16328.779999999999,15512.341,816.4389999999985,Sukkur
2130,Mouse,2154.62,66,2022-01-16,Store_C,56,Mobile Payment,142204.91999999998,135094.674,7110.245999999985,Karachi
2131,Laptop,1642.49,47,2024-05-22,Store_D,31,Cash,77197.03,73337.1785,3859.8515000000043,Lahore
2132,Monitor,741.21,33,2022-11-13,Store_A,78,Online Payment,24459.93,23236.9335,1222.996500000001,Hyderabad
2133,Smartphone,1923.0,73,2023-03-18,Store_D,18,Online Payment,140379.0,133360.05,7018.950000000012,Islamabd
2134,Tablet,1555.65,13,2022-10-10,Store_E,54,Online Payment,20223.45,19212.2775,1011.1725000000006,Sukkur
2135,Smartphone,191.94,12,2023-03-21,Store_B,31,Mobile Payment,2303.2799999999997,2188.116,115.16399999999976,Lahore
2136,Headphones,1405.41,20,2022-10-19,Store_C,68,Cash,28108.2,26702.79,1405.4099999999999,Sukkur
2137,Headphones,1748.17,31,2022-12-10,Store_E,34,Online Payment,54193.270000000004,51483.6065,2709.6635000000024,Lahore
2138,Headphones,1937.33,5,2023-01-09,Store_C,54,Mobile Payment,9686.65,9202.3175,484.33250000000044,Islamabd
2139,Headphones,1287.88,16,2023-10-26,Store_E,74,Debit Card,20606.08,19575.776,1030.304,Lahore
2140,Keyboard,821.86,48,2023-05-09,Store_A,44,Cash,39449.28,37476.816000000006,1972.4639999999927,Karachi
2141,Tablet,81.46,43,2023-09-04,Store_C,52,Credit Card,3502.7799999999997,3327.641,175.13899999999967,Islamabd
2142,Mouse,2173.77,62,2023-02-17,Store_B,46,Mobile Payment,134773.74,128035.05299999999,6738.687000000005,Hyderabad
2143,Mouse,589.63,60,2022-09-15,Store_B,48,Credit Card,35377.8,33608.91,1768.8899999999994,Karachi
2144,Laptop,1723.26,25,2023-02-01,Store_A,39,Mobile Payment,43081.5,40927.425,2154.074999999997,Sukkur
2145,Headphones,2358.64,25,2022-03-05,Store_A,29,Credit Card,58966.0,56017.700000000004,2948.2999999999956,Lahore
2146,Headphones,674.79,17,2024-05-12,Store_B,44,Cash,11471.43,10897.858499999998,573.5715000000018,Sukkur
2147,Smartphone,656.77,55,2024-05-26,Store_A,30,Online Payment,36122.35,34316.2325,1806.1175000000003,Karachi
2148,Headphones,892.82,40,2022-06-08,Store_B,42,Online Payment,35712.8,33927.16,1785.6399999999994,Karachi
2149,Printer,134.66,7,2022-01-18,Store_C,19,Mobile Payment,942.62,895.4889999999999,47.131000000000085,Islamabd
2150,Monitor,2017.12,70,2023-08-05,Store_E,57,Mobile Payment,141198.4,134138.47999999998,7059.920000000013,Karachi
2151,Smartphone,672.64,67,2023-07-02,Store_A,77,Credit Card,45066.88,42813.536,2253.3439999999973,Islamabd
2152,Headphones,1965.85,24,2024-02-26,Store_E,45,Debit Card,47180.399999999994,44821.38,2359.019999999997,Sukkur
2153,Smartphone,1376.77,64,2024-05-09,Store_B,33,Online Payment,88113.28,83707.616,4405.664000000004,Islamabd
2154,Mouse,745.72,36,2023-11-01,Store_E,46,Mobile Payment,26845.920000000002,25503.624,1342.296000000002,Sukkur
2155,Tablet,1902.02,59,2023-02-10,Store_A,57,Mobile Payment,112219.18,106608.22099999999,5610.959000000003,Sukkur
